Datum,Wassertemperatur,pH-Wert,Sauerstoffgehalt
2022-11-30 23:59,6.95,7.73,0.13
2022-12-01 00:14,6.95,7.73,0.13
2022-12-01 00:29,6.94,7.73,0.13
2022-12-01 00:44,6.94,7.73,0.13
2022-12-01 00:59,6.94,7.73,0.12
2022-12-01 01:14,6.94,7.73,0.13
2022-12-01 01:29,6.94,7.73,0.13
2022-12-01 01:44,6.94,7.73,0.13
2022-12-01 02:43,6.94,7.73,0.12
2022-12-01 04:44,6.92,7.73,0.13
2022-12-01 05:14,6.91,7.73,0.12
2022-12-01 05:29,6.92,7.73,0.12
2022-12-01 05:44,6.91,7.73,0.12
2022-12-01 05:59,6.92,7.72,0.13
2022-12-01 06:14,6.92,7.72,0.13
2022-12-01 06:29,6.92,7.73,0.12
2022-12-01 06:59,6.91,7.72,0.12
2022-12-01 07:14,6.91,7.73,0.12
2022-12-01 10:58,6.90,7.74,0.13
2022-12-01 11:59,6.91,7.74,0.13
2022-12-01 12:14,6.92,7.74,0.12
2022-12-01 12:59,6.93,7.73,0.13
2022-12-01 13:29,6.93,7.73,0.13
2022-12-01 13:44,6.93,7.73,0.13
2022-12-01 15:29,6.92,7.72,0.13
2022-12-01 15:44,6.92,7.72,0.13
2022-12-01 15:59,6.90,7.73,0.13
2022-12-01 16:29,6.90,7.73,0.12
2022-12-01 17:14,6.87,7.73,0.13
2022-12-01 17:44,6.86,7.73,0.13
2022-12-01 18:14,6.86,7.73,0.13
2022-12-01 18:44,6.86,7.73,0.13
2022-12-01 18:59,6.85,7.73,0.12
2022-12-01 19:29,6.87,7.73,0.13
2022-12-01 19:44,6.87,7.73,0.12
2022-12-01 19:59,6.87,7.72,0.12
2022-12-01 20:14,6.86,7.72,0.12
2022-12-01 20:29,6.84,7.72,0.13
2022-12-01 20:44,6.81,7.73,0.13
2022-12-01 20:59,6.79,7.73,0.13
2022-12-01 21:59,6.73,7.73,0.13
2022-12-02 01:28,6.60,7.72,0.12
2022-12-02 02:14,6.57,7.72,0.13
2022-12-02 02:29,6.55,7.72,0.12
2022-12-02 02:59,6.55,7.72,0.12
2022-12-02 03:29,6.55,7.72,0.13
2022-12-02 04:29,6.51,7.72,0.13
2022-12-02 04:59,6.48,7.72,0.13
2022-12-02 05:14,6.48,7.72,0.13
2022-12-02 05:29,6.46,7.74,0.13
2022-12-02 05:44,6.45,7.74,0.13
2022-12-02 05:59,6.46,7.73,0.13
2022-12-02 06:14,6.45,7.74,0.13
2022-12-02 06:29,6.44,7.74,0.13
2022-12-02 06:44,6.42,7.75,0.13
2022-12-02 06:59,6.42,7.75,0.13
2022-12-02 07:14,6.42,7.76,0.13
2022-12-02 08:29,6.39,7.77,0.13
2022-12-02 08:59,6.37,7.77,0.13
2022-12-02 09:14,6.36,7.76,0.13
2022-12-02 09:44,6.33,7.77,0.13
2022-12-02 09:59,6.31,7.77,0.13
2022-12-02 10:14,6.31,7.76,0.13
2022-12-02 11:44,6.27,7.77,0.15
2022-12-02 11:59,6.27,7.77,0.14
2022-12-02 12:14,6.28,7.78,0.14
2022-12-02 12:29,6.27,7.78,0.15
2022-12-02 12:44,6.28,7.77,0.18
2022-12-02 12:59,6.26,7.79,0.24
2022-12-02 13:29,6.27,7.78,0.19
2022-12-02 13:44,6.26,7.79,0.17
2022-12-02 13:59,6.25,7.79,0.22
2022-12-02 14:29,6.24,7.78,0.23
2022-12-02 15:14,6.22,7.78,0.28
2022-12-02 15:29,6.20,7.78,0.38
2022-12-02 15:44,6.18,7.78,0.30
2022-12-02 16:14,6.17,7.80,0.40
2022-12-02 18:14,6.07,7.81,0.43
2022-12-02 18:29,6.05,7.82,0.42
2022-12-02 18:59,6.04,7.81,0.43
2022-12-02 19:14,6.03,7.82,0.42
2022-12-02 20:59,5.98,7.80,0.36
2022-12-02 21:29,5.98,7.80,0.42
2022-12-02 22:29,5.90,7.80,0.36
2022-12-02 22:44,5.89,7.81,0.37
2022-12-02 22:59,5.89,7.80,0.30
2022-12-02 23:59,5.85,7.81,0.33
2022-12-03 00:14,5.84,7.81,0.22
2022-12-03 00:29,5.82,7.81,0.18
2022-12-03 00:44,5.80,7.81,0.16
2022-12-03 00:59,5.78,7.80,0.15
2022-12-03 01:44,5.78,7.80,0.13
2022-12-03 01:59,5.78,7.80,0.13
2022-12-03 02:14,5.79,7.79,0.13
2022-12-03 02:59,5.77,7.79,0.13
2022-12-03 03:14,5.77,7.79,0.13
2022-12-03 03:29,5.76,7.78,0.13
2022-12-03 03:44,5.76,7.78,0.13
2022-12-03 04:14,5.75,7.76,0.13
2022-12-03 04:29,5.76,7.75,0.13
2022-12-03 04:44,5.74,7.77,0.13
2022-12-03 04:59,5.74,7.77,0.13
2022-12-03 05:14,5.74,7.76,0.13
2022-12-03 05:29,5.74,7.76,0.13
2022-12-03 05:44,5.72,7.77,0.13
2022-12-03 05:59,5.72,7.76,0.13
2022-12-03 06:14,5.71,7.76,0.13
2022-12-03 06:29,5.71,7.76,0.13
2022-12-03 06:44,5.69,7.74,0.13
2022-12-03 06:59,5.68,7.74,0.13
2022-12-03 07:29,5.67,7.76,0.13
2022-12-03 07:59,5.65,7.78,0.13
2022-12-03 08:14,5.64,7.77,0.13
2022-12-03 08:29,5.63,7.78,0.13
2022-12-03 08:44,5.61,7.77,0.13
2022-12-03 09:14,5.61,7.78,0.13
2022-12-03 12:28,5.54,7.74,0.13
2022-12-03 12:44,5.54,7.75,0.13
2022-12-03 12:59,5.54,7.75,0.13
2022-12-03 13:14,5.52,7.75,0.14
2022-12-03 13:29,5.52,7.73,0.14
2022-12-03 13:59,5.52,7.72,0.13
2022-12-03 14:14,5.52,7.72,0.13
2022-12-03 14:29,5.51,7.72,0.13
2022-12-03 14:44,5.50,7.72,0.13
2022-12-03 14:59,5.50,7.72,0.13
2022-12-03 15:14,5.50,7.72,0.13
2022-12-03 15:29,5.48,7.72,0.13
2022-12-03 15:44,5.47,7.72,0.13
2022-12-03 15:59,5.46,7.72,0.13
2022-12-03 16:29,5.45,7.72,0.13
2022-12-03 16:44,5.43,7.73,0.13
2022-12-03 16:59,5.41,7.73,0.13
2022-12-03 17:14,5.40,7.72,0.13
2022-12-03 17:29,5.39,7.72,0.14
2022-12-03 18:14,5.34,7.72,0.13
2022-12-03 18:29,5.32,7.73,0.13
2022-12-03 18:44,5.30,7.72,0.13
2022-12-03 18:59,5.28,7.74,0.14
2022-12-03 19:14,5.26,7.73,0.13
2022-12-03 19:29,5.24,7.74,0.14
2022-12-03 19:44,5.23,7.76,0.14
2022-12-03 19:59,5.21,7.75,0.13
2022-12-03 20:14,5.20,7.75,0.14
2022-12-03 20:29,5.20,7.75,0.14
2022-12-03 20:44,5.20,7.75,0.14
2022-12-03 20:59,5.20,7.75,0.13
2022-12-03 21:14,5.21,7.76,0.13
2022-12-03 21:29,5.21,7.74,0.14
2022-12-03 21:44,5.19,7.73,0.13
2022-12-03 21:59,5.19,7.73,0.13
2022-12-03 22:29,5.17,7.72,0.14
2022-12-03 22:44,5.19,7.72,0.14
2022-12-03 22:59,5.18,7.72,0.14
2022-12-03 23:14,5.18,7.72,0.13
2022-12-03 23:29,5.18,7.72,0.13
2022-12-03 23:44,5.17,7.72,0.14
