Datum,Wassertemperatur,pH-Wert,Sauerstoffgehalt
2023-01-31 23:58,3.51,8.29,10.97
2023-02-01 00:28,3.52,8.28,10.98
2023-02-01 01:13,3.58,8.28,10.95
2023-02-01 01:28,3.59,8.28,10.95
2023-02-01 02:13,3.60,8.28,10.97
2023-02-01 02:28,3.59,8.27,11.00
2023-02-01 02:43,3.59,8.28,10.99
2023-02-01 02:58,3.58,8.28,10.96
2023-02-01 03:13,3.59,8.28,10.96
2023-02-01 03:43,3.59,8.29,10.99
2023-02-01 03:58,3.58,8.29,11.01
2023-02-01 04:13,3.59,8.29,11.03
2023-02-01 04:43,3.55,8.30,11.04
2023-02-01 04:58,3.58,8.30,11.04
2023-02-01 05:43,3.61,8.30,11.02
2023-02-01 06:28,3.70,8.30,11.01
2023-02-01 06:58,3.64,8.30,11.01
2023-02-01 07:28,3.66,8.30,11.03
2023-02-01 07:43,3.73,8.30,10.98
2023-02-01 07:58,3.71,8.30,11.02
2023-02-01 08:13,3.74,8.30,11.00
2023-02-01 08:58,3.77,8.30,10.93
2023-02-01 09:28,3.80,8.29,10.94
2023-02-01 09:58,3.83,8.29,10.94
2023-02-01 10:13,3.80,8.30,10.97
2023-02-01 10:43,3.81,8.30,10.96
2023-02-01 10:58,3.83,8.30,10.94
2023-02-01 11:43,3.85,8.30,10.98
2023-02-01 12:43,3.87,8.31,11.08
2023-02-01 13:13,3.96,8.30,11.13
2023-02-01 13:28,3.96,8.30,11.13
2023-02-01 14:13,3.96,8.31,11.14
2023-02-01 15:13,4.00,8.32,11.18
2023-02-01 15:28,4.00,8.32,11.15
2023-02-01 15:43,4.05,8.31,11.15
2023-02-01 16:28,4.13,8.31,11.12
2023-02-01 16:43,4.15,8.31,11.11
2023-02-01 17:13,4.08,8.32,11.07
2023-02-01 17:28,4.10,8.31,11.02
2023-02-01 17:58,4.21,8.31,10.98
2023-02-01 18:13,4.23,8.30,10.87
2023-02-01 18:28,4.24,8.30,10.84
2023-02-01 18:58,4.24,8.29,10.98
2023-02-01 19:28,4.24,8.29,10.98
2023-02-01 19:58,4.22,8.30,10.96
2023-02-01 20:28,4.21,8.31,11.02
2023-02-01 20:43,4.21,8.31,10.99
2023-02-01 21:58,4.17,8.29,10.85
2023-02-01 22:28,4.14,8.29,10.87
2023-02-01 22:43,4.16,8.29,10.84
2023-02-01 23:14,4.15,8.28,10.83
2023-02-01 23:28,4.17,8.29,10.85
2023-02-01 23:58,4.12,8.28,10.75
2023-02-02 00:28,4.09,8.28,10.73
2023-02-02 00:58,4.10,8.27,10.73
2023-02-02 01:13,4.08,8.27,10.72
2023-02-02 01:28,4.06,8.27,10.77
2023-02-02 01:43,4.05,8.27,10.72
2023-02-02 02:58,4.06,8.26,10.67
2023-02-02 03:14,4.05,8.26,10.61
2023-02-02 03:28,4.02,8.26,10.73
2023-02-02 03:43,4.02,8.26,10.64
2023-02-02 03:58,4.01,8.26,10.64
2023-02-02 04:13,4.02,8.26,10.67
2023-02-02 04:28,4.02,8.25,10.63
2023-02-02 04:58,4.05,8.25,10.58
2023-02-02 05:13,4.06,8.25,10.51
2023-02-02 05:28,4.07,8.25,10.54
2023-02-02 05:43,4.07,8.24,10.50
2023-02-02 05:58,4.07,8.25,10.56
2023-02-02 06:13,4.08,8.25,10.56
2023-02-02 06:28,4.07,8.24,10.57
2023-02-02 06:58,4.07,8.24,10.55
2023-02-02 07:13,4.08,8.24,10.53
2023-02-02 07:43,4.09,8.23,10.53
2023-02-02 07:58,4.09,8.23,10.54
2023-02-02 08:13,4.09,8.23,10.54
2023-02-02 08:28,4.09,8.23,10.54
2023-02-02 09:28,4.09,8.23,10.58
2023-02-02 09:43,4.08,8.23,10.52
2023-02-02 10:43,4.11,8.23,10.52
2023-02-02 10:58,4.13,8.23,10.50
2023-02-02 11:14,4.12,8.23,10.44
2023-02-02 11:28,4.13,8.23,10.51
2023-02-02 11:58,4.18,8.23,10.60
2023-02-02 12:28,4.18,8.23,10.54
2023-02-02 13:13,4.17,8.22,10.49
2023-02-02 13:28,4.17,8.22,10.33
2023-02-02 13:43,4.15,8.22,10.18
2023-02-02 14:13,4.17,8.21,10.11
2023-02-02 14:58,4.18,8.20,10.00
2023-02-02 15:13,4.55,8.20,10.31
2023-02-02 15:28,4.41,8.20,10.42
2023-02-02 15:43,4.50,8.20,10.42
2023-02-02 15:58,4.48,8.20,10.44
2023-02-02 16:13,4.48,8.20,10.45
2023-02-02 16:28,4.50,8.20,10.55
2023-02-02 17:13,4.34,8.21,10.58
2023-02-02 17:28,4.34,8.21,10.48
2023-02-02 17:43,4.33,8.21,10.43
2023-02-02 17:58,4.37,8.21,10.36
2023-02-02 18:28,4.29,8.21,10.42
2023-02-02 18:43,4.28,8.22,10.48
2023-02-02 19:13,4.30,8.24,10.52
2023-02-02 19:28,4.28,8.25,10.51
2023-02-02 19:43,4.31,8.25,10.55
2023-02-02 19:58,4.37,8.27,10.61
2023-02-02 20:13,4.37,8.27,10.56
2023-02-02 20:43,4.43,8.28,10.64
2023-02-02 20:58,4.42,8.28,10.56
2023-02-02 21:28,4.39,8.28,10.59
2023-02-02 22:43,4.41,8.28,10.60
2023-02-02 23:28,4.47,8.28,10.61
2023-02-02 23:43,4.45,8.28,10.66
2023-02-03 00:43,4.48,8.29,10.67
2023-02-03 01:13,4.50,8.29,10.68
2023-02-03 01:28,4.50,8.30,10.62
2023-02-03 01:58,4.52,8.29,10.57
2023-02-03 02:28,4.59,8.28,10.56
2023-02-03 02:43,4.58,8.28,10.60
2023-02-03 02:58,4.59,8.29,10.61
2023-02-03 03:13,4.58,8.29,10.60
2023-02-03 04:43,4.71,8.27,10.44
2023-02-03 04:58,4.72,8.27,10.42
2023-02-03 05:28,4.73,8.27,10.40
2023-02-03 05:43,4.73,8.27,10.40
2023-02-03 06:13,4.74,8.27,10.53
2023-02-03 06:28,4.76,8.27,10.49
2023-02-03 06:43,4.76,8.27,10.49
2023-02-03 07:13,4.78,8.27,10.40
2023-02-03 07:28,4.80,8.27,10.40
2023-02-03 07:43,4.80,8.27,10.47
2023-02-03 08:13,4.85,8.26,10.46
2023-02-03 08:43,4.89,8.26,10.48
2023-02-03 08:58,4.96,8.25,10.47
2023-02-03 09:13,4.94,8.26,10.49
2023-02-03 09:28,4.91,8.27,10.51
2023-02-03 09:58,5.14,8.23,10.48
2023-02-03 10:28,5.35,8.20,10.26
2023-02-03 10:58,5.37,8.19,10.32
2023-02-03 11:29,5.42,8.20,10.28
2023-02-03 12:13,5.49,8.14,10.00
2023-02-03 12:28,5.53,8.14,10.01
2023-02-03 12:43,5.48,8.13,9.96
2023-02-03 13:13,5.58,8.13,10.02
2023-02-03 13:28,5.64,8.11,9.96
2023-02-03 13:58,5.74,8.10,9.95
2023-02-03 14:13,5.76,8.09,9.81
2023-02-03 14:43,5.79,8.08,9.90
2023-02-03 14:58,5.88,8.08,9.86
2023-02-03 15:13,5.95,8.06,9.76
2023-02-03 15:28,5.85,8.06,9.78
2023-02-03 15:43,5.76,8.08,9.94
2023-02-03 15:58,5.67,8.09,9.96
2023-02-03 16:13,5.63,8.10,10.00
2023-02-03 16:43,5.56,8.12,10.02
2023-02-03 18:28,5.69,8.11,9.71
2023-02-03 18:43,5.76,8.10,9.73
2023-02-03 19:13,5.85,8.08,9.76
2023-02-03 19:28,5.85,8.08,9.84
2023-02-03 19:43,5.79,8.08,9.87
2023-02-03 19:58,5.76,8.09,9.88
2023-02-03 20:13,5.65,8.10,9.93
2023-02-03 20:28,5.62,8.11,9.95
2023-02-03 20:43,5.85,8.10,9.90
2023-02-03 20:58,5.68,8.10,9.86
2023-02-03 21:13,5.65,8.10,9.89
2023-02-03 21:28,5.63,8.11,9.88
2023-02-03 21:58,5.54,8.11,9.93
2023-02-03 22:13,5.53,8.12,9.91
2023-02-03 22:28,5.54,8.12,9.91
2023-02-03 22:43,5.55,8.11,9.79
2023-02-03 22:58,5.57,8.11,9.82
2023-02-03 23:13,5.59,8.11,9.81
2023-02-03 23:29,5.65,8.10,9.78
2023-02-03 23:43,5.70,8.09,9.70
2023-02-03 23:58,5.76,8.09,9.62
2023-02-04 00:13,5.76,8.08,9.58
2023-02-04 00:28,5.74,8.07,9.56
2023-02-04 00:43,5.72,8.07,9.56
2023-02-04 00:58,5.73,8.06,9.58
2023-02-04 01:28,5.74,8.05,9.58
2023-02-04 01:43,5.73,8.05,9.60
2023-02-04 01:58,5.66,8.05,9.59
2023-02-04 02:13,5.56,8.06,9.65
2023-02-04 02:28,5.55,8.06,9.71
2023-02-04 02:43,5.53,8.06,9.70
2023-02-04 02:58,5.49,8.06,9.71
2023-02-04 03:13,5.50,8.07,9.70
2023-02-04 03:28,5.63,8.06,9.64
2023-02-04 03:44,5.67,8.05,9.62
2023-02-04 03:58,5.60,8.05,9.55
2023-02-04 04:13,5.51,8.06,9.60
2023-02-04 04:28,5.50,8.06,9.66
2023-02-04 04:43,5.50,8.05,9.64
2023-02-04 04:58,5.50,8.06,9.63
2023-02-04 05:13,5.45,8.06,9.59
2023-02-04 05:28,5.50,8.07,9.62
2023-02-04 05:43,5.50,8.07,9.63
2023-02-04 05:58,5.49,8.06,9.62
2023-02-04 06:13,5.50,8.06,9.49
2023-02-04 06:28,5.49,8.06,9.52
2023-02-04 06:43,5.47,8.05,9.51
2023-02-04 06:58,5.47,8.05,9.52
2023-02-04 07:13,5.46,8.04,9.54
2023-02-04 07:28,5.45,8.05,9.51
2023-02-04 07:43,5.43,8.05,9.51
2023-02-04 07:58,5.44,8.05,9.51
2023-02-04 08:13,5.45,8.05,9.47
2023-02-04 08:28,5.46,8.05,9.43
2023-02-04 08:43,5.46,8.05,9.38
2023-02-04 08:58,5.47,8.05,9.28
2023-02-04 09:13,5.49,8.04,9.48
2023-02-04 09:28,5.50,8.04,9.30
2023-02-04 09:43,5.50,8.04,9.23
2023-02-04 09:58,5.50,8.04,9.17
2023-02-04 10:13,5.54,8.03,9.17
2023-02-04 10:28,5.57,8.04,9.44
2023-02-04 10:43,5.59,8.04,9.42
2023-02-04 10:58,5.65,8.04,9.31
2023-02-04 11:13,5.76,8.04,9.44
2023-02-04 11:28,5.83,8.04,9.50
2023-02-04 11:43,5.85,8.04,9.55
2023-02-04 12:13,5.94,8.03,9.54
2023-02-04 12:28,6.04,8.03,9.52
2023-02-04 12:58,6.14,8.01,9.30
2023-02-04 13:28,6.19,8.01,9.26
2023-02-04 13:43,6.22,8.00,9.17
2023-02-04 13:58,6.32,8.00,9.20
2023-02-04 14:13,6.34,7.99,9.24
2023-02-04 14:28,6.37,7.99,9.20
2023-02-04 14:43,6.35,7.99,9.19
2023-02-04 14:58,6.35,7.99,9.26
2023-02-04 15:13,6.35,7.99,9.21
2023-02-04 15:28,6.33,7.99,9.18
2023-02-04 15:43,6.35,7.99,9.04
2023-02-04 15:58,6.33,7.99,9.11
2023-02-04 16:13,6.33,7.99,9.21
2023-02-04 16:28,6.33,7.99,9.28
2023-02-04 16:43,6.33,7.99,9.34
2023-02-04 16:58,6.33,7.98,9.28
2023-02-04 17:13,6.33,7.98,9.20
2023-02-04 17:28,6.33,7.98,9.09
2023-02-04 17:43,6.33,7.97,8.81
2023-02-04 17:58,6.33,7.97,8.86
2023-02-04 18:13,6.29,7.96,8.89
2023-02-04 18:28,6.22,7.94,8.59
2023-02-04 18:43,6.19,7.95,8.36
2023-02-04 18:58,6.17,7.95,8.31
2023-02-04 19:13,6.17,7.95,8.46
2023-02-04 19:43,6.16,7.94,8.49
2023-02-04 19:58,6.16,7.93,8.47
2023-02-04 20:13,6.12,7.93,8.37
