Datum,Wassertemperatur,pH-Wert,Sauerstoffgehalt
2021-11-30 23:50,5.30,8.13,10.55
2021-12-01 00:05,5.31,8.13,10.63
2021-12-01 00:20,5.34,8.17,10.64
2021-12-01 00:35,5.34,8.17,10.57
2021-12-01 00:50,5.35,8.16,10.61
2021-12-01 01:05,5.35,8.17,10.61
2021-12-01 01:20,5.36,8.17,10.60
2021-12-01 01:35,5.37,8.18,10.60
2021-12-01 01:50,5.39,8.18,10.61
2021-12-01 02:05,5.41,8.18,10.62
2021-12-01 02:35,5.43,8.17,10.63
2021-12-01 02:50,5.46,8.18,10.61
2021-12-01 03:05,5.47,8.18,10.58
2021-12-01 03:50,5.50,8.18,10.54
2021-12-01 04:05,5.52,8.17,10.61
2021-12-01 04:20,5.52,8.17,10.60
2021-12-01 04:35,5.52,8.17,10.60
2021-12-01 05:05,5.55,8.17,10.56
2021-12-01 05:20,5.56,8.18,10.56
2021-12-01 06:05,5.58,8.17,10.57
2021-12-01 06:20,5.59,8.18,10.56
2021-12-01 06:50,5.61,8.19,10.56
2021-12-01 07:05,5.62,8.18,10.56
2021-12-01 07:20,5.63,8.18,10.57
2021-12-01 07:35,5.64,8.18,10.54
2021-12-01 08:05,5.63,8.19,10.50
2021-12-01 08:20,5.65,8.19,10.51
2021-12-01 08:35,5.66,8.17,10.47
2021-12-01 09:05,5.67,8.18,10.48
2021-12-01 09:35,5.68,8.18,10.48
2021-12-01 09:50,5.70,8.18,10.48
2021-12-01 10:05,5.70,8.18,10.50
2021-12-01 10:20,5.71,8.18,10.53
2021-12-01 11:05,5.76,8.19,10.56
2021-12-01 11:20,5.77,8.19,10.62
2021-12-01 12:20,5.81,8.19,10.65
2021-12-01 12:35,5.83,8.20,10.64
2021-12-01 12:50,5.85,8.20,10.72
2021-12-01 13:20,5.86,8.20,10.71
2021-12-01 14:05,5.90,8.21,10.83
2021-12-01 14:21,5.91,8.22,10.87
2021-12-01 14:35,5.92,8.21,10.86
2021-12-01 14:50,5.92,8.22,10.92
2021-12-01 16:50,5.95,8.23,10.96
2021-12-01 17:20,5.96,8.24,10.99
2021-12-01 17:35,5.96,8.23,10.94
2021-12-01 17:50,5.96,8.23,10.95
2021-12-01 18:05,5.95,8.23,10.93
2021-12-01 18:20,5.95,8.23,10.89
2021-12-01 18:35,5.96,8.23,10.90
2021-12-01 18:50,5.96,8.23,10.86
2021-12-01 19:05,5.96,8.22,10.83
2021-12-01 19:20,5.95,8.23,10.81
2021-12-01 19:35,5.94,8.23,10.82
2021-12-01 19:50,5.93,8.22,10.85
2021-12-01 20:05,5.93,8.22,10.85
2021-12-01 20:20,5.93,8.23,10.82
2021-12-01 20:35,5.91,8.22,10.80
2021-12-01 20:50,5.90,8.22,10.76
2021-12-01 21:05,5.93,8.22,10.69
2021-12-01 21:20,5.89,8.22,10.73
2021-12-01 21:35,5.87,8.22,10.72
2021-12-01 21:50,5.89,8.22,10.70
2021-12-01 22:05,5.89,8.21,10.68
2021-12-01 22:20,5.85,8.21,10.70
2021-12-01 22:35,5.83,8.21,10.71
2021-12-01 22:50,5.84,8.21,10.69
2021-12-01 23:05,5.82,8.21,10.68
2021-12-01 23:20,5.81,8.21,10.67
2021-12-01 23:35,5.81,8.20,10.61
2021-12-01 23:50,5.79,8.19,10.54
